held_clone_index,innovation_block_length,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,34.0,up,0.020345668923131673,0.03070984967499805,-0.028571885333603005,0.0
1.0,40.0,34.0,pu,-0.018647016629978426,-0.03746350155348099,-0.028571885333603005,0.0
1.0,40.0,34.0,pp,-0.05019280782662475,-0.022642115271608,0.9828422019283719,0.0
1.0,40.0,35.0,uu,0.24137240193746884,0.2575772010447603,1.0297064434640306,0.0
1.0,40.0,35.0,up,0.012245529157794229,0.027625766905560706,-0.03711344316332868,0.0
1.0,40.0,35.0,pu,-0.010580995355345244,-0.031427977687463665,-0.03711344316332868,0.0
1.0,40.0,35.0,pp,-0.03998284487516862,-0.012251485169670763,0.9816503171542494,0.0
1.0,40.0,36.0,uu,0.23998512758627744,0.2519856340126044,1.0158776512121284,0.0
1.0,40.0,36.0,up,0.006033157618815559,0.025908239196147105,-0.03643289339340036,0.0
1.0,40.0,36.0,pu,-0.004440911068341571,-0.03273861718989342,-0.03643289339340036,0.0
1.0,40.0,36.0,pp,-0.029096011484436503,-0.005361484867511242,0.9914656861671071,0.0
1.0,40.0,37.0,uu,0.239526686758642,0.24614369217827356,1.0019971489178037,0.0
1.0,40.0,37.0,up,0.0017414577828258704,0.02505019316486319,-0.03820012351249711,0.0
1.0,40.0,37.0,pu,-0.00023366251492950698,-0.033497752052488824,-0.03820012351249711,0.0
1.0,40.0,37.0,pp,-0.018757797597105778,-0.0020841986279482236,0.9921515118625793,0.0
1.0,40.0,38.0,uu,0.23966604312986095,0.24018642723692288,0.9889910928468859,0.0
1.0,40.0,38.0,up,-0.0007990733156507417,0.025101180387523278,-0.03131559317144724,0.0
1.0,40.0,38.0,pu,0.00224082412252118,-0.030132640698295042,-0.03131559317144724,0.0
1.0,40.0,38.0,pp,-0.009857139001560626,0.0027237242821765255,1.0154804484361957,0.0
1.0,40.0,39.0,uu,0.2401162352914379,0.23533205843651958,0.9800393930460602,0.0
