held_clone_index,bath_order,lag_frames,correlation_component,observed_correlation,simulated_correlation,simulated_marginal_covariance,thermodynamic_claim_allowed
1.0,40.0,48.0,pp,0.004901912619548574,-0.03619314752681802,0.9811994329527047,0.0
1.0,40.0,49.0,uu,0.23746018899082466,0.19763405472127937,1.0479344506254236,0.0
1.0,40.0,49.0,up,0.007316620018591113,-0.005826302392749061,-0.007019395412766177,0.0
1.0,40.0,49.0,pu,-0.006240053585313085,0.01769394364645713,-0.007019395412766177,0.0
1.0,40.0,49.0,pp,0.004628590715777934,-0.04190496504906232,0.9817195261406729,0.0
1.0,40.0,50.0,uu,0.23615885741632486,0.2001447216034279,1.0440234075357377,0.0
1.0,40.0,50.0,up,0.008104461843045445,-0.013784963501931409,-0.008389142795786097,0.0
1.0,40.0,50.0,pu,-0.0071527592358663645,0.012472828410650859,-0.008389142795786097,0.0
1.0,40.0,50.0,pp,0.004292116991860078,-0.044721884476123394,0.9931550335002143,0.0
1.0,40.0,51.0,uu,0.2347064985111816,0.20202159803404254,1.0420837501463238,0.0
1.0,40.0,51.0,up,0.008782188562258163,-0.021752426916660694,-0.004917497039874111,0.0
1.0,40.0,51.0,pu,-0.007982207510299738,0.007613205465947734,-0.004917497039874111,0.0
1.0,40.0,51.0,pp,0.0037461971071407027,-0.0424647608345192,0.9898809331589888,0.0
1.0,40.0,52.0,uu,0.23312417586104495,0.20228827700620147,1.0401805205845869,0.0
1.0,40.0,52.0,up,0.00933359380498528,-0.029109331298440285,-0.004598300812228701,0.0
1.0,40.0,52.0,pu,-0.0086867597957057,-0.0038975008696205443,-0.004598300812228701,0.0
1.0,40.0,52.0,pp,0.0029657120547455095,-0.04021892292847113,0.9710931008353987,0.0
1.0,40.0,53.0,uu,0.23144339219239995,0.2008704650223567,1.037396952986043,0.0
1.0,40.0,53.0,up,0.00970318437405474,-0.035378670997619585,-0.00831876703691114,0.0
1.0,40.0,53.0,pu,-0.009197149234452352,-0.009814451526399441,-0.00831876703691114,0.0
1.0,40.0,53.0,pp,0.0019289975265807445,-0.02981114149947325,0.9521759248556371,0.0
1.0,40.0,54.0,uu,0.22970290674993224,0.19818786652858342,1.0320225436193053,0.0
1.0,40.0,54.0,up,0.009841747658631893,-0.039553353990052546,-0.02096616102912964,0.0
1.0,40.0,54.0,pu,-0.009497250795493229,-0.017040754418020276,-0.02096616102912964,0.0
