time,position_response_x,velocity_response_x,total_force_response_x,pair_force_response_x,inferred_memory_kernel_x,predicted_position_response_x,reference_epsilon,thermodynamic_claim_allowed
0.185,-0.1158708883999271,3.093019123333998,-23.144875417948185,-20.040283856940455,-3572.6349949308246,-0.11598991068375857,0.001,0
0.186,-0.11278944171499994,3.0667850017744995,-29.323367701252323,-26.24192101560041,-3665.1829503898884,-0.11291212731448518,0.001,0
0.187,-0.1097373184000272,3.034367388156989,-35.51185953259939,-32.45973621470455,-3762.5350314552747,-0.1098635430942735,0.001,0
0.188,-0.10672070693995561,2.9957689938754917,-41.684929031704954,-38.66831757331512,-3838.461702617275,-0.10685034352931906,0.001,0
0.189,-0.10374578040994731,2.9509930279959793,-47.86700272650002,-44.892076197130315,-3942.7638777951324,-0.10387869879373261,0.001,0
0.19,-0.10081872088496535,2.9000492528054864,-54.02054765469533,-51.09348812806491,-4013.4901329152162,-0.10095478814498898,0.001,0
0.191,-0.0979456818999136,2.8429823857994974,-60.11318635724994,-57.240147378315065,-4055.7148028603806,-0.0980847624108114,0.001,0
0.192,-0.09513275611505723,2.7798619454859894,-66.12769426970111,-63.314768477090055,-4084.499537789463,-0.0952747116289028,0.001,0
0.193,-0.09238595801497329,2.7107422923260125,-72.11161204954664,-69.3648139512102,-4164.511873011299,-0.09253064783192864,0.001,0
0.194,-0.08971127153001301,2.635662748438988,-78.04747572463,-75.37278923832513,-4230.740299470297,-0.08985855256525244,0.001,0
0.195,-0.08711463251498408,2.5546650478224797,-83.94792550859975,-81.35128649800993,-4313.216511412258,-0.08726435943249279,0.001,0
0.196,-0.08460194143000699,2.4678689716760016,-89.6442267843991,-87.13153569933985,-4230.519558973927,-0.08475396673013974,0.001,0
0.197,-0.08217889457495797,2.3754446071025113,-95.20450236345113,-92.78145550516514,-4219.181345999717,-0.08233306879792489,0.001,0
0.198,-0.07985105221997024,2.277562592975485,-100.55952588959727,-98.23168353369027,-4141.773664981618,-0.08000722410805988,0.001,0
0.199,-0.0776237693850268,2.1744087076239897,-105.74824481315304,-103.52096198313987,-4106.229467564142,-0.07778178607385908,0.001,0
0.2,-0.07550223480001783,2.066162498947005,-110.74417254170044,-108.62263795644988,-4046.9841554087434,-0.07566194197795652,0.001,0
